____Time[ps] Energy[ kJ/mol ]_____Bond _______Angle ____Dihedral ___Planarity _____Coulomb _________VdW _Your result _Your result _Your result _Your result _Your result _Your result _Your result _Your result _Your result _Your result _Your result _Your result _Your result _Your result _Your result _Your result _Your result _Your result _Your result _Your result _Your result _Your result _Your result _Your result _Your result _Your result _Your result _Your result _Your result _Your result _Your result _Your result _Your result _RMSDs[A]:CA ____Backbone __HeavyAtoms
    1150.000 -1124343.269   101435.239    63221.891   150107.865     1085.127 -1621224.477   181031.088    28616.374        3.458       26.786       60.406       21.332       29.861       14.758        9.327       16.075       11.510       21.450       23.882       43.889       26.203       33.288       17.308       20.254       26.706       22.496       24.916       30.417       14.643        8.246       24.889       19.063       11.642       16.541       68.166        0.000        7.612       23.356        0.865        0.000        1.677        1.707        2.082
    1200.000 -1125442.476   100578.268    63639.466   150198.266     1126.174 -1623518.596   182533.947    28077.547        7.530       26.646       56.317       20.064       31.726       15.960       10.446       16.477       12.068       20.788       23.912       44.630       25.564       33.220       15.924       20.362       25.908       24.886       25.309       30.901       14.114       10.417       24.113       18.431       11.340       13.854       68.512        0.000        8.304       21.626        1.557        0.000        1.774        1.800        2.169
    1250.000 -1126284.569   101630.623    63110.139   150190.638     1101.462 -1625974.016   183656.585    28237.972        2.271       26.673       51.955       21.030       30.826       16.551       10.404       16.401       11.832       20.604       23.631       41.662       26.374       31.770       16.662       21.224       26.083       22.917       24.645       30.009       14.580        9.254       24.267       19.109       10.603       13.760       69.204        0.000        6.228       23.010        1.557        0.000        1.773        1.798        2.167
    1300.000 -1124586.158   100391.131    63553.434   149864.762     1061.553 -1622501.570   183044.532    27909.495        5.467       26.541       52.411       20.123       30.461       15.584       10.471       14.946       11.732       20.562       23.569       43.146       27.084       31.700       16.466       21.250       26.854       23.853       25.896       30.349       13.724        8.738       25.259       19.207       11.318       15.904       68.858        0.000        8.997       20.415        1.730        0.000        2.018        2.043        2.372
    1350.000 -1123861.369    98367.133    63610.997   150463.140     1110.101 -1626117.919   188705.180    28323.424        3.943       26.655       44.435       20.332       31.048       14.445       10.121       15.624       11.298       20.994       23.891       42.437       26.728       30.134       17.067       20.973       26.202       22.718       24.684       31.268       14.925        8.747       22.281       18.658       11.144       15.970       68.858        0.000       10.381       20.069        0.692        0.000        1.949        1.974        2.339
    1400.000 -1124028.845    98281.039    62612.401   150613.811     1119.157 -1622793.094   186137.841    28222.062        5.559       26.714       38.925       20.745       29.653       15.457       10.317       16.125       11.873       20.732       23.994       43.614       26.261       31.873       16.817       19.957       25.926       21.594       24.606       30.212       14.064        8.782       23.672       19.297       12.212       14.569       68.685        0.000        5.536       24.048        1.730        0.000        1.850        1.873        2.262
    1450.000 -1123990.644   102612.728    62969.517   149975.376     1121.785 -1621346.886   180676.836    28067.347        2.859       26.829       40.815       20.448       29.804       15.288       10.658       16.307       11.722       21.132       24.270       43.866       26.508       30.650       16.830       20.761       26.461       22.661       25.059       30.816       14.309        8.518       24.486       18.706       11.227       15.712       67.993        0.000       10.381       20.761        0.865        0.000        1.814        1.840        2.224
    1500.000 -1123749.947   100532.332    63278.383   149647.843     1105.388 -1620649.645   182335.752    28247.227        2.776       26.862       44.134       20.956       31.321       13.910       10.080       15.446       11.934       20.048       23.975       43.032       26.885       32.272       16.572       21.287       26.403       23.208       26.192       31.345       14.512        8.373       24.107       19.066       12.597       15.024       69.377        0.000        8.304       20.934        1.384        0.000        1.827        1.856        2.229
    1550.000 -1125022.214    99186.845    62894.476   150132.499     1078.711 -1622653.847   184339.102    28162.941        4.757       26.848       51.601       19.768       30.814       14.438        9.261       15.821       12.028       19.735       24.332       43.701       27.060       32.978       16.886       20.595       26.302       22.968       25.357       31.114       14.253       10.094       22.341       18.818       10.916       15.321       70.069        0.000        4.152       23.010        2.768        0.000        1.676        1.705        2.119
    1600.000 -1122555.580    98007.226    63413.867   150390.168     1154.155 -1622042.322   186521.326    28240.806       -0.695       26.895       50.624       19.607       30.363       14.293        8.538       16.856       11.598       19.618       24.650       45.242       26.531       32.686       16.811       20.598       25.556       22.673       25.259       30.527       13.870        9.775       24.421       18.838       11.538       14.470       69.550        0.000        6.228       22.664        1.557        0.000        1.768        1.792        2.190
    1650.000 -1124401.777   100664.650    63251.046   150028.838     1090.564 -1624453.996   185017.122    28205.394        9.514       26.934       57.980       20.156       32.218       15.322        9.201       15.864       11.791       20.776       24.322       44.544       26.369       32.578       16.652       21.820       25.658       23.619       25.204       32.128       14.990        8.768       23.075       18.598       12.393       14.370       68.685        0.000        8.997       20.761        1.557        0.000        1.853        1.876        2.252
    1700.000 -1124287.003   101278.518    63283.945   149885.425     1114.293 -1621702.004   181852.821    28009.491        6.905       26.853       55.183       18.976       31.045       16.445        8.229       15.927       11.832       20.191       24.799       45.008       26.221       32.439       16.520       20.081       25.836       23.294       25.784       31.454       13.584        8.879       23.430       18.630       11.291       13.698       70.069        0.000        7.612       19.550        2.768        0.000        1.817        1.840        2.210
    1750.000 -1123918.103   100301.719    62324.762   150595.538     1119.017 -1621403.921   183144.783    28292.822        3.922       26.887       57.779       18.958       30.982       15.278        8.812       16.189       11.417       21.258       24.227       44.760       25.709       31.137       15.804       20.778       25.494       23.502       24.904       31.156       13.814        8.760       24.451       18.319       12.287       13.045       70.242        0.000        6.228       21.972        1.557        0.000        2.013        2.039        2.379
    1800.000 -1125897.380   101194.662    62648.377   150310.891     1032.063 -1624805.748   183722.374    28198.870        7.650       26.918       58.231       19.689       30.434       14.649        8.495       16.479       11.509       20.402       24.909       43.051       25.537       33.332       17.012       21.130       26.608       24.683       24.596       30.425       13.603        8.176       23.861       18.600       12.319       12.561       70.242        0.000        6.228       21.107        2.422        0.000        1.913        1.938        2.306
    1850.000 -1123381.135   102551.983    61974.293   150008.593     1115.994 -1623133.507   184101.510    28264.826        5.010       26.796       46.269       18.788       31.343       14.749       10.535       15.918       11.339       20.936       24.339       44.054       26.652       31.858       16.785       20.488       25.772       23.106       25.157       30.280       14.883        8.771       22.090       18.457       12.424       15.899       68.339        0.000        7.612       23.010        1.038        0.000        1.812        1.842        2.217
    1900.000 -1124367.038   100984.983    63066.243   150085.066     1108.548 -1621170.429   181558.551    28157.494       13.800       26.819       51.303       19.088       30.290       14.375       10.606       15.415       11.925       20.839       24.027       44.343       26.375       32.733       16.094       20.747       25.755       22.058       24.586       31.229       14.665        8.238       22.655       19.135       11.636       13.531       67.993        0.000        7.612       23.702        0.692        0.000        1.748        1.772        2.174
    1950.000 -1125629.466   101058.233    62531.476   150069.610     1044.102 -1623367.766   183034.880    27923.705       -3.052       27.024       56.905       17.979       32.718       13.982       10.292       16.495       11.272       20.747       23.965       45.243       26.275       33.240       17.289       20.551       25.753       23.553       25.039       30.667       16.670        8.955       23.216       18.791       10.934       13.085       67.820        0.000        6.920       23.356        1.903        0.000        2.002        2.023        2.381
    2000.000 -1125474.830   102070.298    62480.985   150474.839     1170.512 -1624783.475   183112.010    28150.146        1.961       26.982       48.276       19.475       30.782       15.312       10.330       16.264       11.723       20.563       25.127       43.293       26.544       32.706       16.495       21.302       26.082       23.253       24.417       32.164       14.407        8.686       21.557       18.817       12.321       14.028       70.934        0.000        6.920       19.896        2.249        0.000        1.908        1.932        2.314
    2050.000 -1125304.867    98797.830    62707.844   150498.036     1117.264 -1623684.826   185258.985    28129.424        9.589       26.903       47.283       18.787       34.345       16.334       10.367       16.111       11.494       20.264       23.645       44.305       26.232       34.026       17.204       20.951       25.647       24.017       24.700       31.635       14.463        8.458       22.980       18.729       12.438       14.497       67.474        0.000        6.920       22.491        1.903        1.211        1.785        1.808        2.189
    2100.000 -1125426.814   101705.348    62604.510   150049.617     1068.960 -1622524.214   181668.966    28286.680       14.283       26.849       49.609       18.006       30.851       15.882       10.514       16.826       11.259       20.216       24.161       43.590       26.418       32.257       16.489       20.964       26.488       22.875       25.583       31.986       16.108        9.245       23.253       19.374       12.248       15.083       68.339        0.000        7.612       23.356        0.692        0.000        1.767        1.793        2.186
    2150.000 -1125315.549   101716.939    63331.017   149951.932     1095.561 -1625407.308   183996.310    28264.843       -0.370       26.817       54.638       18.926       33.301       17.058       10.454       17.446       11.367       20.729       24.163       43.651       26.016       32.623       16.393       20.910       26.065       23.377       25.477       31.829       17.522        8.317       23.885       18.629       13.871       15.580       68.339        0.000        6.228       23.875        1.557        0.000        1.803        1.828        2.219
    2200.000 -1124669.279   102203.581    62347.319   150112.493     1082.571 -1621292.722   180877.479    28313.708        5.092       26.820       58.938       19.889       32.047       13.825        7.970       16.880       12.003       20.619       23.799       45.590       26.698       33.266       16.874       21.146       26.413       22.458       25.943       32.436       14.805        9.445       23.498       19.190       12.846       16.450       70.242        0.000        5.536       22.664        1.557        0.000        1.814        1.840        2.203
    2250.000 -1123491.820    99666.284    62155.507   150320.578     1071.155 -1621319.055   184613.710    28296.973        5.629       26.829       64.890       20.315       30.804       14.831        8.733       16.319       11.681       21.397       23.976       43.921       26.011       32.668       16.941       20.361       26.144       22.384       25.190       32.008       14.871        8.710       25.018       19.880       12.061       16.051       70.588        0.000        7.612       20.242        1.557        0.000        1.766        1.795        2.188
    2300.000 -1124312.861   102302.198    62706.581   149988.737     1099.694 -1621737.005   181326.932    28388.025       12.841       26.833       60.785       19.945       31.404       14.217        9.392       16.578       11.427       20.488       24.126       42.604       25.927       33.125       16.768       20.810       26.682       22.065       25.118       31.997       13.293        8.877       24.363       19.560       12.882       16.113       69.204        0.000        4.152       24.221        2.422        0.000        1.799        1.826        2.204
    2350.000 -1125538.377   101639.697    63020.853   149975.957     1073.047 -1621009.852   179761.920    28600.440        5.604       26.914       57.495       20.233       33.003       14.628        8.999       16.999       11.591       20.328       23.949       43.580       26.060       32.420       16.644       21.115       25.687       21.801       25.762       31.846       12.120        8.967       23.510       19.554       13.281       16.807       70.242        0.000        4.152       24.740        0.865        0.000        1.810        1.839        2.200
    2400.000 -1124824.203   101749.795    63047.647   150046.563     1072.879 -1621263.728   180522.640    28622.150        9.585       26.868       55.116       20.595       31.628       15.104        9.013       15.936       11.326       20.369       23.522       42.841       25.950       33.291       17.178       20.912       26.007       23.088       24.828       30.620       15.137        9.966       23.220       19.669       11.822       16.536       66.436        0.000        8.997       23.702        0.865        0.000        2.076        2.100        2.410
    2450.000 -1123704.956   102768.981    62825.643   149899.096     1148.696 -1622385.516   182038.144    28613.727        5.890       26.845       50.835       20.874       31.558       15.404       10.495       16.716       11.735       21.251       24.523       43.954       25.954       33.082       16.683       21.570       25.996       24.872       25.322       32.131       15.164       10.237       24.327       19.915       11.872       15.876       66.782        0.000        7.612       22.491        3.114        0.000        1.903        1.929        2.321
    2500.000 -1123891.290   101258.465    63702.537   150166.741     1145.370 -1624599.412   184435.010    28420.893        2.217       26.753       50.493       19.822       31.161       15.333       10.285       16.872       11.956       20.369       24.157       45.136       26.265       32.913       16.898       20.134       26.064       23.605       25.430       32.856       14.472       10.055       25.756       18.991       11.228       16.266       62.976        0.000       11.765       22.837        2.422        0.000        1.839        1.868        2.260
    2550.000 -1124625.284   100671.686    63107.039   149888.541     1103.397 -1624714.168   185318.221    28327.231       -1.349       26.815       50.532       19.381       32.029       15.165        9.941       15.831       11.893       20.801       23.930       42.061       26.222       32.962       16.560       20.627       26.270       24.071       25.354       32.314       14.073        9.973       24.413       18.854       10.690       15.636       68.339        0.000        7.612       23.183        0.865        0.000        2.006        2.033        2.373
    2600.000 -1125623.186   101821.309    63111.479   150168.458     1035.256 -1626365.033   184605.344    28390.259        4.945       26.735       63.909       20.379       32.439       15.111        8.994       16.892       12.020       20.764       23.659       44.315       26.069       31.013       15.407       20.546       25.940       23.533       25.449       32.206       12.908        8.583       23.304       19.698       11.833       15.269       68.166        0.000        7.612       22.491        1.730        0.000        1.985        2.014        2.348
