Time[ps] Energy the_rest_Your result _Your result _Your result _Your result _Your result _Your result _Your result _Your result _Your result _Your result _Your result _Your result _Your result _Your result _Your result _Your result _Your result _Your result _Your result _Your result _Your result _Your result _Your result _Your result _Your result _Your result _Your result _Your result _Your result _Your result _Your result _Your result _Your result _Your result _Your result _Your result _Your result _Your result _Your result _Your result _Your result _Your result _Your result _Your result _Your result _Your result _Your result _Your result _Your result _Your result _Your result _Your result _Your result _Your result _Your result _Your result _Your result _Your result _Your result _Your result _Your result _Your result _Your result _Your result _Your result _Your result _Your result _Your result _Your result _Your result _Your result _Your result _Your result _Your result _Your result _Your result _Your result _Your result _Your result _Your result _Your result _Your result _Your result _Your result _Your result _Your result _Your result _Your result _Your result _Your result _Your result _Your result _Your result _Your result _Your result _Your result _Your result _RMSDs[A]:CA ____Backbone __HeavyAtoms
    1000.000 -1310424.928   102793.970    67098.956   185692.684     1339.311 -1855363.203   188013.353      -92.512      -48.110     -110.220      -55.459      -92.403      -49.156      -32.938      -64.403      -52.404     -123.386     -173.433       35.992      100.659     -132.874     -116.414      -58.487       29.048      -68.163      158.126     -137.401     -111.790      -53.585       70.707      124.279     -130.717      -47.725      -33.571      -49.006      -31.944      -46.873      119.078       84.391       14.882     -124.894     -167.650       12.816     -118.535      -49.495      145.448     -128.749      -44.143      -43.713      -25.189      -48.666       92.627      -80.821       70.689      147.021     -135.375      -53.811      121.508     -123.537      -90.986      -87.614      142.100     -152.153       -4.689     -102.548     -111.732      166.567       34.702      -85.283     -161.782      -97.697     -156.906     -117.678     -126.192     -102.150      167.771     -132.692     -119.596       81.990     -111.284      -51.241      -68.130      -46.530      -49.973      -49.258      -92.904      -46.953      158.358     -161.147     -134.837       55.848      -67.942      -45.542     -161.956     -108.092      -60.065      -81.157       92.886     -153.827     -156.735     -136.973       65.917        0.000       11.765       22.318        0.000        0.000
    1100.000 -1309909.749   103940.734    67187.407   185349.397     1289.064 -1852850.575   185174.223      -89.550      -52.023     -119.228      -61.758      -71.685      -48.347      -43.573      -71.109      -44.424     -114.802     -176.023       31.968       86.138     -138.355     -118.064      -58.315       23.507      -67.208      147.881     -130.971     -114.700      -53.878       79.482      114.626     -129.249      -46.980      -36.927      -47.736      -22.551      -43.102       84.302       95.631        0.862     -107.291     -166.504       25.741     -127.406      -50.035      157.985     -120.482      -43.191      -51.819      -33.922      -47.142      109.831      -88.577       74.146      157.453     -151.564      -62.369      126.022     -131.446      -70.527      -89.046      127.255     -157.845       -0.539     -107.574     -136.345      141.261       41.656      -91.671     -152.030      -83.532     -158.997     -116.211     -124.020      -78.201      131.180     -129.403     -133.333       94.950     -134.099      -49.473      -66.800      -51.355      -59.222      -47.448      -88.594      -38.290      149.769     -156.609     -139.068       51.388      -82.713      -49.733     -156.376     -102.735      -57.583      -85.268       83.029     -140.524     -145.491     -123.173       65.744        0.000       11.073       22.491        0.692        0.000
    1200.000 -1310811.726   101314.864    67080.780   186030.120     1272.705 -1856369.239   189859.044     -100.671      -44.827     -115.769      -55.870      -85.061      -52.538      -42.910      -53.227      -34.449     -111.300     -176.422       16.103      115.677     -128.764     -128.867      -67.927       24.015      -65.797      155.747     -135.395     -122.055      -61.317       72.054      116.692     -143.595      -52.882      -45.837      -48.196      -20.750      -43.242       94.954       83.695       12.389     -123.298     -175.754       16.637     -131.027      -54.221      157.942     -129.935      -47.991      -46.490      -36.986      -42.256      103.085      -80.989       70.715      155.245     -156.997      -63.519      102.359     -130.749      -79.281      -81.503      147.479     -140.286       -7.893     -127.706     -117.008      167.447       52.795      -98.897     -153.869      -80.614     -153.356     -111.716     -171.601     -126.208      136.980     -122.638     -120.528       91.646     -141.516      -54.534      -76.825      -51.426      -51.833      -50.510      -81.784      -54.470      131.534     -164.932     -129.042       81.350      -68.528      -48.864     -173.135     -108.773      -79.057      -96.078      116.260     -139.495     -142.131     -127.503       68.339        0.000        6.920       23.183        1.557        0.000
    1300.000 -1309338.578   103366.660    66991.428   185323.019     1254.481 -1854091.191   187817.026     -104.687      -49.874     -116.607      -63.672      -74.703      -48.593      -45.448      -53.391      -33.584     -119.387     -170.907       34.143      117.641     -129.296     -166.296      -96.091        7.290      -45.342      132.739     -138.215     -116.087      -58.659       64.102      106.000     -135.491      -50.594      -39.075      -44.397      -28.339      -49.113       94.977       82.845       23.788     -124.859     -169.137       19.508     -121.796      -50.662      156.660     -125.220      -50.916      -50.403      -31.894      -47.926      102.701      -81.407       70.650      154.710     -143.309      -51.702      115.299     -116.501      -64.600      -81.710      135.766     -142.144      -20.309     -120.762     -120.011      160.887       35.913      -97.145     -150.994      -85.627     -145.456     -119.173     -140.888      -98.868      124.045     -133.880     -122.364       79.557      -97.551      -43.165      -90.798      -45.988      -44.439      -50.976      -69.868      -45.810      141.803     -161.337     -139.054       72.404      -85.389      -45.876     -154.048      -90.541      -57.555      -95.221      111.282     -140.647     -137.171     -120.099       68.339        0.000        6.228       23.875        1.557        0.000
    1400.000 -1308870.079   100736.186    66350.675   185457.976     1224.841 -1852420.944   189781.188     -102.286      -48.935     -123.433      -65.399      -75.721      -47.909      -26.701      -54.888      -39.068     -111.265     -179.759       26.489      103.379     -133.127     -138.188      -74.861        7.891      -60.230      163.689     -134.687      -92.438      -67.077       70.654       81.390     -125.786      -48.597      -52.479      -47.615      -31.259      -45.671       81.450       94.008       21.579     -124.366     -169.631       16.406     -128.337      -50.749      148.643     -125.103      -29.853      -49.003      -25.352      -49.536       97.407      -87.223       77.666      165.259     -142.096      -55.260      107.727     -127.545      -83.917      -77.235      137.049     -145.833      -26.928     -117.157     -110.825      179.755       30.848      -92.121     -150.888      -90.480     -162.907     -124.568     -135.123      -88.882      118.025     -131.873     -117.810       82.330      -85.592      -47.321      -91.107      -45.946      -44.526      -51.922      -88.722      -44.067      100.392     -148.677     -140.350       67.138      -81.722      -49.387     -140.670      -79.906      -70.203      -91.572      128.532     -152.429     -148.924     -125.861       69.031        0.000        8.304       22.664        0.000        0.000
    1500.000 -1308212.248   104529.164    67573.810   185126.078     1209.739 -1850170.389   183519.350     -115.117      -49.540     -127.388      -62.151      -75.980      -51.206      -24.683      -54.615      -51.069     -113.073     -167.450       32.403      131.653     -131.881     -160.748      -89.763       -6.721      -51.018      165.252     -127.289      -81.237      -50.899       64.794       90.318     -139.980      -50.502      -42.336      -46.673      -52.528      -46.385      100.257       85.444       13.670     -119.760     -166.185        9.547     -137.225      -55.970      155.023     -120.356      -30.512      -41.830      -42.902      -44.799      110.583      -86.571       77.334      157.887     -144.190      -57.120      102.232     -127.090      -66.014      -80.450      139.695     -146.321      -16.416     -133.477     -103.425      178.107       14.645      -89.564     -149.587      -81.103     -142.023     -114.096     -132.618      -92.404      133.952     -132.327     -131.030       85.637      -97.318      -44.930      -79.379      -46.431      -45.782      -46.204      -88.488      -45.592      126.881     -164.227     -134.930       76.083      -83.072      -49.203     -148.190      -86.397      -97.554      -83.293      162.510     -133.492     -150.970     -123.541       69.896        0.000        5.536       24.567        0.000        0.000
    1600.000 -1307828.320    98412.185    67332.536   185970.988     1268.298 -1852074.767   191262.441     -135.266      -47.688     -109.721      -66.263      -75.618      -43.712      -50.596      -48.332      -34.387     -124.030     -163.477       61.465      125.573     -133.162     -162.261      -95.368       -2.631      -50.026      167.179     -120.340      -90.194      -70.683       69.634       70.042     -141.800      -52.175      -43.449      -48.708      -50.213      -45.584      103.544       66.629       12.918     -115.446     -171.314       12.820     -125.339      -51.866      155.401     -132.068      -27.561      -42.638      -27.237      -45.578       95.639      -82.836       78.555      159.043     -156.378      -64.767      119.046     -124.597      -87.140      -78.977      151.105     -149.624       -3.827     -113.678     -122.510      155.235       31.813      -92.254     -169.207      -97.963     -139.523     -120.193     -122.376      -85.783      110.064     -135.485     -124.223       84.736      -81.391      -47.651      -94.898      -49.699      -84.877      -52.620      -62.582      -47.623     -175.764     -159.230     -139.319       56.901      -97.740      -44.548      174.577     -104.072      -88.641      -82.678      156.967     -147.030     -143.043     -126.642       69.204        0.000        8.997       21.107        0.692        0.000
    1700.000 -1309999.547   102368.959    67010.118   185667.242     1187.600 -1852113.117   185879.649     -110.246      -42.401     -134.885      -73.556      -75.169      -42.606      -52.539      -62.281      -40.726     -116.019     -165.404       36.401      117.517     -132.031     -148.103      -81.522       -4.718      -50.276      150.020     -131.106      -96.556      -71.222       61.504       56.733     -136.121      -48.676      -39.955      -47.053      -57.741      -52.846      104.890       87.568       18.439     -118.663     -170.081       15.886     -136.908      -57.118      150.595     -130.793      -22.612      -47.865      -26.105      -48.728       91.988      -86.884       81.021      170.224     -143.110      -54.504      107.512     -123.916      -95.784      -85.747      174.146     -119.077      -14.853     -124.399     -111.063      171.924       13.098      -85.270     -161.416      -88.236     -141.268     -114.204     -115.927      -82.231      113.084     -141.649     -130.015       81.146      -78.580      -43.650      -98.979      -48.916      -68.329      -56.297      -69.458      -43.352      148.571     -155.870     -123.805       88.419     -114.407      -46.117      176.888     -110.702     -156.577     -117.733     -118.024      -75.645     -132.511     -124.242       67.128        0.000        9.689       22.318        0.865        0.000
    1800.000 -1307984.585   100825.213    67512.676   185948.278     1203.609 -1852461.561   188987.201     -129.556      -50.612     -115.997      -64.272      -83.577      -53.866      -47.748      -64.980      -35.655     -127.058     -169.487       27.857      136.414     -131.012     -152.207      -81.847        9.632      -51.483      147.214     -131.657      -86.263      -56.600       64.974       56.053     -106.747      -41.954      -31.272      -46.534      -61.275      -52.998       77.985       98.703       16.354     -126.567     -168.900       28.024     -127.146      -50.294      155.167     -122.106      -29.817      -52.126      -27.164      -46.926       99.411      -83.113       70.980      151.681     -142.945      -58.348      105.790     -133.801      -74.988      -83.382      138.312     -151.287        7.064     -125.126     -112.863      163.563       31.257      -93.810     -148.664      -81.674     -145.090     -114.702     -126.916      -76.588      114.902     -133.660     -117.588       85.763     -108.404      -46.681     -100.550      -49.835      -79.050      -47.710      -70.985      -48.693      145.250     -159.866     -100.674      119.678      -87.064      -48.960      144.300     -130.158     -149.099     -124.101     -143.730     -114.305     -138.490     -129.892       68.166        0.000        6.228       25.606        0.000        0.000
    1900.000 -1309414.271   102418.041    66927.412   185897.098     1300.450 -1851054.121   185096.849     -127.894      -47.074     -124.367      -68.568      -73.024      -48.455      -55.222      -49.577      -35.084     -125.807     -173.091       14.748      147.271     -116.603     -137.216      -73.420       11.357      -51.605      124.309     -148.225     -133.423      -97.353       62.379       65.773     -153.037      -55.176      -56.362      -46.169      -43.449      -54.296       85.993       96.465       25.487     -112.129     -173.282       27.180     -132.086      -51.917      154.904     -123.255      -42.021      -50.851      -46.619      -46.207       97.271      -80.124       72.057      153.554     -136.032      -57.432      116.957     -127.173      -99.095      -88.663      141.281     -137.975      -13.471     -125.633     -114.050      174.020       27.151      -94.517     -156.233      -85.363     -145.377     -115.644     -122.062      -74.133      118.015     -135.626     -124.448       78.589      -86.106      -46.197      -88.921      -45.253      -76.426      -47.625      -91.356      -49.811      150.737     -152.620     -139.911       58.027      -73.294      -44.940      154.535     -123.033     -136.236     -115.445     -134.056      -98.624     -132.945     -131.362       69.031        0.000        8.304       21.280        1.384        0.000
